"mode", "seed", "ncat", "p11", "p12", "p13", "th10", "th11", "th12", "a_iinfo1", "method", "p21", "p22", "p23", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "a_iinfo2", "difai", "dth0", "dth1", "dth2"
"G2P", 1703, 3, 1, 0.503422925584597, 0.831403065109026, -0.524942737843868, 0.367344782866942, 1.13797804519586, 0.896115865619923, 0, 1.2698, 0.268, 1.0729, 0.0146073664611225, 0.167585575828244, 0.100422886945938, 0.042412754015771, 0.028015396182135, -0.52279830717807, 0.406964536102972, 1.07615408802517, 0.847929519159022, 0.0481863464609005, -0.00214443066579773, -0.0396197532360307, 0.0618239571706836
"G2P", 1703, 3, 1, 0.503422925584597, 0.831403065109026, -0.524942737843868, 0.367344782866942, 1.13797804519586, 0.896115865619923, 1, 1.4156, 0.4442, 0.8871, 0.0789044911308648, 0.0342267568636641, 0.0383437454139452, 0.07333666084975, 0.0536987729809519, -0.472609477986099, 0.443286315899398, 1.05063440806576, 0.881701515518448, 0.0144143501014748, -0.0523332598577684, -0.0759415330324561, 0.0873436371300933
"G2P", 1703, 3, 1, 0.503422925584597, 0.831403065109026, -0.524942737843868, 0.367344782866942, 1.13797804519586, 0.896115865619923, 2, 1.4133, 0.4321, 0.8681, 0.0798387391009248, 0.0364292887042329, 0.0379161100951223, 0.0731304323779177, 0.0462585281361605, -0.476868728118016, 0.432764220732517, 1.04074961747241, 0.882408499729168, 0.0137073658907545, -0.0480740097258515, -0.0654194378655756, 0.0972284277234514
"G2P", 1703, 3, 1, -0.938308011488934, 0.309021619842738, -1.02547100204957, -0.157238529763611, 0.751069345870336, 0.870313766900711, 0, 1.1318, -1.0244, 0.3944, 0.00996110470576354, 0.120628885802879, 0.0629507316079787, 0.0238060171827088, 0.00563016105183028, -0.986196859640609, -0.165200779881454, 0.741357308318329, 0.822159594896472, 0.048154172004239, -0.0392741424089641, 0.00796225011784316, 0.00971203755200678
"G2P", 1703, 3, 1, -0.938308011488934, 0.309021619842738, -1.02547100204957, -0.157238529763611, 0.751069345870336, 0.870313766900711, 1, 1.1813, -0.8223, 0.2017, 0.0778724035936466, 0.028758147240754, 0.0333306972985671, 0.0690959033639038, 0.013527922581138, -0.929405344429523, -0.176369901348589, 0.682308080376407, 0.861028973376861, 0.00928479352384992, -0.0960656576200501, 0.0191313715849786, 0.0687612654939288
"G2P", 1703, 3, 1, -0.938308011488934, 0.309021619842738, -1.02547100204957, -0.157238529763611, 0.751069345870336, 0.870313766900711, 2, 1.1705, -0.8146, 0.2252, 0.0747545019816514, 0.0318371882412306, 0.0323543148572642, 0.0702639753805901, 0.00632370002592741, -0.921492263404357, -0.166181592104656, 0.688463257871112, 0.851736768216765, 0.0185769986839458, -0.103978738645216, 0.00894306234104564, 0.0626060879992235
"G2P", 1703, 3, 1, -0.935098742499761, 0.789724553481276, -0.966766808841725, -0.0336547725614976, 0.905787686002534, 0.80039849903684, 0, 1.0865, -0.9791, 0.8337, 0.00702672897306757, 0.0854310300861711, 0.0424296148498913, 0.0161338375322416, 0.000763848419850422, -0.944149035643272, -0.0347350173564474, 0.889411741838101, 0.762994107658482, 0.0374043913783574, -0.0226177731984529, 0.00108024479494973, 0.016375944164433
"G2P", 1703, 3, 1, -0.935098742499761, 0.789724553481276, -0.966766808841725, -0.0336547725614976, 0.905787686002534, 0.80039849903684, 1, 1.0968, -0.8125, 0.6717, 0.0606521853631277, 0.0219079079299771, 0.0257820425782839, 0.0625394012310841, 0.00152179981778782, -0.886456786998327, -0.0358069225030301, 0.833129591056619, 0.794222609802608, 0.00617588923423218, -0.0803100218433984, 0.00215214994153243, 0.0726580949459151
"G2P", 1703, 3, 1, -0.935098742499761, 0.789724553481276, -0.966766808841725, -0.0336547725614976, 0.905787686002534, 0.80039849903684, 2, 1.0881, -0.8282, 0.6922, 0.0546431693944295, 0.0255480810458874, 0.0244901097859887, 0.0603192960581269, 0.000386807378697967, -0.888135104478101, -0.0342018008024783, 0.836998091877993, 0.783202980227794, 0.017195518809046, -0.0786317043636241, 0.00054702824098065, 0.0687895941245409
"G2P", 1703, 3, 1, 0.7087313434403, 2.54818237656952, -0.370734961985227, 0.720259816457148, 1.66564938729642, 0.513749160405778, 0, 1.0388, 0.6682, 2.662, 0.00592820054736965, 0.0648378648228203, 0.0281477994414662, 0.123664502292817, 0.00893075123595754, -0.371513150469707, 0.732889805977219, 1.45183029280438, 0.491886015384079, 0.0218631450216984, 0.000778188484479969, -0.0126299895200714, 0.21381909449204
"G2P", 1703, 3, 1, 0.7087313434403, 2.54818237656952, -0.370734961985227, 0.720259816457148, 1.66564938729642, 0.513749160405778, 1, 1.0589, 0.7365, 2.2455, 0.0419830606578693, 0.014122212371986, 0.0241378554127457, 0.175879403653568, 0.000419384453977075, -0.35456607029281, 0.719666717274485, 1.36144730140054, 0.508311396978238, 0.0054377634275401, -0.0161688916924163, 0.000593099182662815, 0.304202085895877
"G2P", 1703, 3, 1, 0.7087313434403, 2.54818237656952, -0.370734961985227, 0.720259816457148, 1.66564938729642, 0.513749160405778, 2, 1.0641, 0.7214, 2.4163, 0.0245942945497553, 0.0234995227225429, 0.0133063030437757, 0.144288945595197, 0.0129408110998565, -0.359020488959712, 0.738560887022673, 1.41668002893919, 0.507811176699438, 0.00593798370633958, -0.0117144730255144, -0.0183010705655253, 0.248969358357231
