"mode", "seed", "ncat", "p11", "p12", "p13", "th10", "th11", "th12", "info", "p21", "p22", "p23", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "dth0", "dth1", "dth2"
"P2G", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.10408124432629, -0.695566028383965, 0.254861437574344, 0, 0.6245, -0.4941, -2.2206, 0.0018529224656178, 0.00613190973213227, 0.00597286563053661, 0.111972300936053, 0.126054488367441, -1.18017516313612, -0.517298061336728, 0.248255684343213, 0.0760939188098271, -0.178267967047237, 0.00660575323113133
"P2G", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.10408124432629, -0.695566028383965, 0.254861437574344, 1, 0.6284, -1.001, -1.6487, 0.00684619700577365, 0.00190263275843346, 0.00317337575904345, 0.126446166059483, 0.146987088748347, -1.16694513954176, -0.487694893982315, 0.283209645530707, 0.0628638952154656, -0.20787113440165, -0.0283482079563629
"P2G", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.10408124432629, -0.695566028383965, 0.254861437574344, 2, 0.6508, -1.3015, -1.4946, 0.00884782093137025, 0.00250059489265792, 0.00215509573930868, 0.123219128432287, 0.125443582048298, -1.21956987471117, -0.5181620133386, 0.282046958213965, 0.115488630384874, -0.177404015045365, -0.027185520639621
"P2G", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.434733571712019, 0.482219592682166, 1.08179396042948, 0, 0.8173, 0.6704, 1.2618, 0.00200373935457147, 0.0164856940038417, 0.00916648681693607, 0.0711487930049522, 0.0337812620943925, -0.434218758297626, 0.434445673674196, 1.19538903016383, -0.000514813414392912, 0.04777391900797, -0.113595069734355
"P2G", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.434733571712019, 0.482219592682166, 1.08179396042948, 1, 0.8304, 0.3238, 1.6789, 0.0107531304542422, 0.00301338846231256, 0.00315453611844964, 0.101369516411462, 0.0451120069833154, -0.486009277968595, 0.418421580580492, 1.23712570918756, 0.0512757062565764, 0.0637980121016744, -0.155331748758086
"P2G", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.434733571712019, 0.482219592682166, 1.08179396042948, 2, 0.8325, 0.3848, 1.7071, 0.00967059415930954, 0.00363134604177862, 0.00295672870909445, 0.1060699450662, 0.0303919974668581, -0.46991086328939, 0.439238817676927, 1.2569159489868, 0.0351772915773715, 0.0429807750052395, -0.175121988557319
"P2G", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.44138470886033, -0.229136032773508, 0.922869881315181, 0, 0.9935, -2.8281, 1.0615, 0.0000941509164267501, 0.0009153888732725, 0.000392373663481374, 0.0218511826531744, 0.000260949859973938, -1.47922717764029, -0.228766993942434, 0.923353530987929, 0.0378424687799617, -0.000369038831074503, -0.000483649672748832
"P2G", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.44138470886033, -0.229136032773508, 0.922869881315181, 1, 0.9988, -2.8566, 1.0734, 0.000509868826592687, 0.000316772215918122, 0.000268149219736158, 0.028768138586554, 0.000702279156144835, -1.49062256016788, -0.228142860066316, 0.930450448562714, 0.0492378513075544, -0.000993172707191958, -0.00758056724753342
"P2G", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.44138470886033, -0.229136032773508, 0.922869881315181, 2, 0.9984, -2.8539, 1.0684, 0.000382420594583241, 0.000362482781564603, 0.00022812906646101, 0.0281947053639961, 0.0000529077535901616, -1.48989143361273, -0.229061209910826, 0.928519331467341, 0.0485067247524003, -0.0000748228626819003, -0.00564945015216056
"P2G", 1701, 3, 1, 0.0487127321259882, 0.559424674667953, -0.548746150031392, 0.158593638399059, 0.749842774767895, 0, 0.6265, 0.9581, -0.3506, 0.00180647930320462, 0.00609537265291027, 0.00650857501438375, 0.0238675197710811, 0.0267330521600778, -0.54946088011438, 0.12078739347065, 0.766550632362166, 0.000714730082987836, 0.0378062449284093, -0.0167078575942711
"P2G", 1701, 3, 1, 0.0487127321259882, 0.559424674667953, -0.548746150031392, 0.158593638399059, 0.749842774767895, 1, 0.6767, 0.1963, 0.4062, 0.0132363267771849, 0.00165215750293002, 0.00233769210868521, 0.0573906528034091, 0.0280614866598321, -0.606460395985592, 0.118908703384373, 0.820378105166374, 0.0577142459541995, 0.0396849350146862, -0.0705353303984794
"P2G", 1701, 3, 1, 0.0487127321259882, 0.559424674667953, -0.548746150031392, 0.158593638399059, 0.749842774767895, 2, 0.6714, 0.2305, 0.3967, 0.012776968240559, 0.00187762532702107, 0.00229776146093382, 0.0543037429070569, 0.0250420203165465, -0.599153505620191, 0.123178873638177, 0.82091725978624, 0.0504073555887988, 0.0354147647608826, -0.071074485018345
"P2G", 1701, 3, 1, -0.0825501691750181, 0.433460251207046, -0.590669322100256, 0.0915799802786075, 0.707000659637845, 0, 0.6272, 0.814, -0.4632, 0.00180145168352471, 0.00607589334942086, 0.00653919088047472, 0.014515174840523, 0.0153503936790332, -0.593739310213815, 0.0698712453499526, 0.719304191762111, 0.00306998811355896, 0.021708734928655, -0.0123035321242666
"P2G", 1701, 3, 1, -0.0825501691750181, 0.433460251207046, -0.590669322100256, 0.0915799802786075, 0.707000659637845, 1, 0.6789, 0.0544, 0.2929, 0.0134545858076334, 0.00162806581023515, 0.00234231895962017, 0.0543135501901204, 0.0161634088600989, -0.651456492401948, 0.0687214682544742, 0.77506161435874, 0.060787170301692, 0.0228585120241333, -0.0680609547208957
"P2G", 1701, 3, 1, -0.0825501691750181, 0.433460251207046, -0.590669322100256, 0.0915799802786075, 0.707000659637845, 2, 0.6732, 0.0853, 0.2769, 0.0129806695248039, 0.00181966105067222, 0.00231108033123136, 0.0510709048137156, 0.014332541395558, -0.645241716928583, 0.0713107058537356, 0.773601877287864, 0.0545723948283268, 0.0202692744248719, -0.0666012176500193
"P2G", 1701, 3, 1, -1.23928623843075, -0.0521993903231151, -0.983172855519029, -0.317261444841344, 0.547646958738898, 0, 0.8184, -1.02, -0.2623, 0.00190411596264948, 0.0154795556705468, 0.0089299233070392, 0.0455310053888536, 0.021291969767367, -1.05600096014303, -0.287150052426696, 0.550577586467952, 0.0728281046239995, -0.0301113924146483, -0.00293062772905406
"P2G", 1701, 3, 1, -1.23928623843075, -0.0521993903231151, -0.983172855519029, -0.317261444841344, 0.547646958738898, 1, 0.8469, -1.3966, 0.0747, 0.011365564509799, 0.0028191587384213, 0.00325605145291254, 0.0849567663855164, 0.0270929784126364, -1.11145023173902, -0.278946187325112, 0.608719147627365, 0.128277376219994, -0.0383152575162319, -0.0610721888884667
"P2G", 1701, 3, 1, -1.23928623843075, -0.0521993903231151, -0.983172855519029, -0.317261444841344, 0.547646958738898, 2, 0.8488, -1.4242, 0.0278, 0.0106943315567246, 0.00312013548821631, 0.00313825850246614, 0.0884036267756618, 0.0151612511159519, -1.12725437895866, -0.295820197890621, 0.594831608931347, 0.144081523439634, -0.0214412469507234, -0.0471846501924493
"P2G", 1701, 3, 1, 0.44474461218675, 1.20006315865249, -0.429505722424233, 0.418743919988183, 0.969855153430576, 0, 0.7109, 0.9672, 0.6617, 0.00216423266196921, 0.0117709376127343, 0.00864459979901023, 0.0581150104696871, 0.0518734493854492, -0.427193229114155, 0.345383784340207, 1.038739158817, -0.00231249331007777, 0.0733601356479766, -0.0688840053864237
"P2G", 1701, 3, 1, 0.44474461218675, 1.20006315865249, -0.429505722424233, 0.418743919988183, 0.969855153430576, 1, 0.7384, 0.437, 1.1904, 0.0120397994018101, 0.00250797530216227, 0.00311572192008656, 0.0853916744502047, 0.0632423860001521, -0.484097591298741, 0.329305679989934, 1.07423783051367, 0.0545918688745085, 0.0894382399982495, -0.104382677083093
"P2G", 1701, 3, 1, 0.44474461218675, 1.20006315865249, -0.429505722424233, 0.418743919988183, 0.969855153430576, 2, 0.7433, 0.4722, 1.2555, 0.0118619203928275, 0.00309975728683466, 0.00287297327437566, 0.08786774725587, 0.0485158102968168, -0.471709441680722, 0.350132203076905, 1.09898106642588, 0.0422037192564893, 0.0686117169112785, -0.129125912995302
