"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "th10", "th11", "th12", "th13", "a_iinfo1", "method", "p21", "p22", "p23", "p24", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "a_iinfo2", "difai", "dth0", "dth1", "dth2", "dth3"
"Gn2P", 1703, 4, 1, 0.309021619842738, 0.503422925584597, 0.831403065109026, -0.662090800448403, 0.0814872189892569, 0.641770830620867, 1.24202700549237, 1.45129527109405, 0, 1.5303, -0.0083, 0.5473, 1.1158, 0.0198771045467526, 0.468697437625784, 0.141566407309331, 0.0630245050569912, 0.0723564416770415, -0.671466646852162, 0.185475955005532, 0.571822944746977, 1.2323273921785, 1.39779322553613, 0.0535020455579278, 0.00937584640375877, -0.103988736016276, 0.0699478858738896, 0.00969961331387137
"Gn2P", 1703, 4, 1, 0.309021619842738, 0.503422925584597, 0.831403065109026, -0.662090800448403, 0.0814872189892569, 0.641770830620867, 1.24202700549237, 1.45129527109405, 1, 1.6643, 0.2765, 0.2971, 0.8869, 0.127110900634626, 0.335276730885112, 0.211232079152592, 0.144153007310559, 0.145313553341445, -0.559915719499419, 0.210718124878256, 0.425790601624647, 1.14542201314917, 1.29610631613876, 0.15518895495529, -0.102175080948984, -0.129230905888999, 0.21598022899622, 0.0966049923432002
"Gn2P", 1703, 4, 1, 0.309021619842738, 0.503422925584597, 0.831403065109026, -0.662090800448403, 0.0814872189892569, 0.641770830620867, 1.24202700549237, 1.45129527109405, 2, 1.7058, 0.1564, 0.5181, 1.0065, 0.0555441262230116, 0.296108570961764, 0.10250249753218, 0.09659325135174, 0.107857680728794, -0.615828833935536, 0.24896176117746, 0.558993324041877, 1.22526343175105, 1.52317164196117, -0.0718763708671133, -0.0462619665128666, -0.167474542188203, 0.0827775065789904, 0.0167635737413274
"Gn2P", 1703, 4, 1, -0.938308011488934, -0.935098742499761, 0.789724553481276, -1.29547168892365, -0.619034967112216, 0.0805480662525038, 0.927197455346916, 1.22217902864997, 0, 1.2976, -1.2992, -0.6669, 0.8094, 0.019105197850713, 0.351514510392306, 0.11713076186297, 0.0505572840382028, 0.0250560160796741, -1.22605812164703, -0.604002375047, 0.0398364831199917, 0.986548114398511, 1.19435438318408, 0.0278246454658821, -0.0694135672766125, -0.0150325920652166, 0.0407115831325121, -0.0593506590515944
"Gn2P", 1703, 4, 1, -0.938308011488934, -0.935098742499761, 0.789724553481276, -1.29547168892365, -0.619034967112216, 0.0805480662525038, 0.927197455346916, 1.22217902864997, 1, 1.3002, -1.5593, -0.629, 0.2775, 0.138825057552035, 0.292458621697667, 0.179327266117389, 0.13487760010971, 0.109785057980352, -1.36060512240735, -0.657088336113795, -0.105758718312304, 0.747288514432924, 1.16873779854648, 0.0534412301034863, 0.0651334334837068, 0.0380533690015791, 0.186306784564808, 0.179908940913993
"Gn2P", 1703, 4, 1, -0.938308011488934, -0.935098742499761, 0.789724553481276, -1.29547168892365, -0.619034967112216, 0.0805480662525038, 0.927197455346916, 1.22217902864997, 2, 1.3348, -1.2635, -0.6452, 0.7998, 0.0198257446783884, 0.343048572617319, 0.114566904255071, 0.0527409558808894, 0.0239653975954556, -1.22733865179627, -0.598924698134215, 0.0442355625195296, 0.99619964455128, 1.25447599247321, -0.032296963823242, -0.0681330371273734, -0.0201102689780008, 0.0363125037329742, -0.0690021892043641
"Gn2P", 1703, 4, 1, 0.7087313434403, 1.38140612338207, 2.54818237656952, -0.424633146412809, 0.525332182157526, 1.24903414370179, 1.9317718506068, 0.811287309294306, 0, 1.2281, 0.5368, 1.521, 2.7212, 0.0133079289380873, 0.23030686264718, 0.0745360956330446, 0.0448736521161195, 0.0506438153564744, -0.428791642806648, 0.589412934132201, 1.18913384881151, 1.91325436095203, 0.785252388503033, 0.0260349207912728, 0.00415849639383892, -0.0640807519746746, 0.059900294890278, 0.0185174896547688
"Gn2P", 1703, 4, 1, 0.7087313434403, 1.38140612338207, 2.54818237656952, -0.424633146412809, 0.525332182157526, 1.24903414370179, 1.9317718506068, 0.811287309294306, 1, 1.4553, 0.8932, 1.7587, 3.9189, 0.0919076463864619, 0.0597400991354357, 0.167171170723794, 0.51220018737674, 0.261770742959954, -0.325890642445666, 0.863495111549286, 1.5510566574232, 2.8450485228677, 0.785750864862258, 0.0255364444320482, -0.098742503967143, -0.33816292939176, -0.302022513721414, -0.913276672260905
"Gn2P", 1703, 4, 1, 0.7087313434403, 1.38140612338207, 2.54818237656952, -0.424633146412809, 0.525332182157526, 1.24903414370179, 1.9317718506068, 0.811287309294306, 2, 1.354, 0.7327, 1.4066, 2.6105, 0.0549112164127948, 0.113846400395051, 0.0488684081116974, 0.0854404640282597, 0.0903280439585386, -0.373382667147716, 0.675400326030013, 1.20479593882418, 1.97755627342099, 0.820513412760277, -0.00922610346597086, -0.0512504792650936, -0.150068143872486, 0.0442382048776142, -0.0457844228141902
"Gn2P", 1703, 4, 1, 1.37793390645166, 1.45539821703294, 1.82309850258371, -0.282130108830099, 0.692161188094466, 1.32336026210076, 1.86747710510239, 0.743397655569811, 0, 1.3707, 1.0323, 1.6184, 2.2047, 0.0183148708780391, 0.448695715522338, 0.135650872397914, 0.10706515184966, 0.10700864274095, -0.285190911455549, 0.848998115380381, 1.22459424009272, 1.76028629586078, 0.683219862269528, 0.0601777933002823, 0.00306080262545039, -0.156836927285916, 0.0987660220080433, 0.107190809241604
"Gn2P", 1703, 4, 1, 1.37793390645166, 1.45539821703294, 1.82309850258371, -0.282130108830099, 0.692161188094466, 1.32336026210076, 1.86747710510239, 0.743397655569811, 1, 1.8264, 1.2819, 1.7889, 2.086, 0.0645438890449316, 0.178963507453128, 0.150958579026526, 0.253609377897482, 0.286370506994976, -0.213758732712541, 1.16204695669229, 1.48220473414469, 1.94854509711097, 0.759489840641134, -0.0160921850713234, -0.068371376117558, -0.469885768597819, -0.158844472043931, -0.0810679920085815
