"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "p15", "th10", "th11", "th12", "th13", "th14", "a_iinfo1", "method", "p21", "p22", "p23", "p24", "p25", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "th24", "a_iinfo2", "difai", "dth0", "dth1", "dth2", "dth3", "dth4"
"G2P", 1701, 5, 1, -1.60341369329408, -1.13879933211689, 0.426470450826252, 1.53491733548862, -1.55293841685392, -0.862499905586777, -0.162638360286432, 0.572111542786212, 1.35027183963061, 1.33064090233995, 0, 1.268, -1.8513, -1.0029, 0.3924, 1.6036, 0.0109993274196626, 0.190523934778744, 0.07922322300385, 0.0678305509570824, 0.00973291041706595, -1.40932265848362, -0.84626223716705, -0.172816437057357, 0.575526664787355, 1.30554473394867, 1.2171337441632, 0.113507158176748, -0.143615758370302, -0.0162376684197264, 0.0101780767709254, -0.00341512200114324, 0.0447271056819389
"G2P", 1701, 5, 1, -1.60341369329408, -1.13879933211689, 0.426470450826252, 1.53491733548862, -1.55293841685392, -0.862499905586777, -0.162638360286432, 0.572111542786212, 1.35027183963061, 1.33064090233995, 1, 1.3634, -1.6066, -0.8766, 0.5562, 1.9106, 0.0526665320674176, 0.142581071627048, 0.129587386688011, 0.136115294161693, 0.0927294971608793, -1.36639165089414, -0.783802900672002, -0.0940264196555456, 0.725389791716534, 1.50338007604763, 1.34846891089505, -0.017828008555099, -0.186546765959781, -0.0786970049147744, -0.0686119406308861, -0.153278248930322, -0.153108236417021
"G2P", 1701, 5, 1, -1.60341369329408, -1.13879933211689, 0.426470450826252, 1.53491733548862, -1.55293841685392, -0.862499905586777, -0.162638360286432, 0.572111542786212, 1.35027183963061, 1.33064090233995, 2, 1.2921, -1.6728, -0.9167, 0.38, 1.4291, 0.032456536197429, 0.142907641578651, 0.0645471351804803, 0.108367932988469, 0.0413287456867126, -1.35105664759068, -0.786881392075542, -0.155999130932022, 0.539400353139876, 1.24477522897433, 1.28213329966078, 0.0485076026791684, -0.201881769263238, -0.0756185135112351, -0.00663922935440941, 0.0327111896463361, 0.105496610656283
"G2P", 1701, 5, 1, -2.83194181435478, 0.0487127321259882, 0.559424674667953, 1.06254067784207, -1.61621067125498, -0.665687405348758, 0.0625625754324923, 0.660149849638941, 1.29500548484057, 1.43867946962402, 0, 1.3729, -2.5516, -0.1763, 0.5692, 1.2956, 0.0180483982914796, 0.407937844924279, 0.128946850741099, 0.0881947974382398, 0.0455490116310641, -1.77736968541356, -0.65812611430873, 0.126351082991104, 0.595553386705433, 1.22703097646405, 1.295249341461, 0.143430128163019, 0.161159014158576, -0.00756129104002823, -0.0637885075586119, 0.0645964629335085, 0.0679745083765182
"G2P", 1701, 5, 1, -2.83194181435478, 0.0487127321259882, 0.559424674667953, 1.06254067784207, -1.61621067125498, -0.665687405348758, 0.0625625754324923, 0.660149849638941, 1.29500548484057, 1.43867946962402, 1, 1.6021, -2.7436, 0.1197, 0.5685, 0.9528, 0.0936769039595506, 0.151842706749323, 0.112997165022933, 0.232429096840353, 0.115684531864478, -2.05643533563522, -0.58673212864511, 0.245687261704799, 0.542833792727994, 1.14405176176425, 1.41059719514774, 0.0280822744762752, 0.440224664380239, -0.0789552767036487, -0.183124686272307, 0.117316056910947, 0.150953723076326
"G2P", 1701, 5, 1, -2.83194181435478, 0.0487127321259882, 0.559424674667953, 1.06254067784207, -1.61621067125498, -0.665687405348758, 0.0625625754324923, 0.660149849638941, 1.29500548484057, 1.43867946962402, 2, 1.5297, -2.8463, 0.0457, 0.4803, 1.0889, 0.0709224434695945, 0.184009562355425, 0.0876323661798927, 0.209677883433588, 0.0893618895486529, -2.03703779938784, -0.614323886356915, 0.183600553380967, 0.539097026351991, 1.1911478273541, 1.37610929101772, 0.0625701786063018, 0.420827128132857, -0.0513635189918433, -0.121037977948475, 0.12105282328695, 0.103857657486471
"G2P", 1701, 5, 1, -1.23928623843075, -0.0825501691750181, -0.0521993903231151, 0.433460251207046, -1.26968234496701, -0.63218879598846, -0.129351046150236, 0.362884979955603, 0.994770470374754, 1.94260209274759, 0, 1.5295, -1.3026, -0.371, 0.0798, 0.686, 0.0222045895225093, 0.665801089124682, 0.189099330511597, 0.0585003646283038, 0.0633960658717208, -1.30090250859073, -0.557576397579747, -0.101590787332586, 0.264200620981534, 0.986991008986949, 1.70245118555673, 0.240150907190865, 0.0312201636237206, -0.0746123984087136, -0.0277602588176494, 0.0986843589740682, 0.00777946138780505
"G2P", 1701, 5, 1, -1.23928623843075, -0.0825501691750181, -0.0521993903231151, 0.433460251207046, -1.26968234496701, -0.63218879598846, -0.129351046150236, 0.362884979955603, 0.994770470374754, 1.94260209274759, 1, 1.7301, -1.4051, -0.3566, -0.2093, 0.4445, 0.0840473128249121, 0.513448173552687, 0.246323236862976, 0.153929743475599, 0.144841140776252, -1.43301344283097, -0.613401378677295, -0.212029487450439, 0.0858883508418009, 0.906006976429291, 1.93605959538527, 0.00654249736232071, 0.163331097863964, -0.0187874173111647, 0.0826784413002031, 0.276996629113802, 0.0887634939454631
"G2P", 1701, 5, 1, -1.23928623843075, -0.0825501691750181, -0.0521993903231151, 0.433460251207046, -1.26968234496701, -0.63218879598846, -0.129351046150236, 0.362884979955603, 0.994770470374754, 1.94260209274759, 2, 1.6432, -1.1986, -0.2946, 0.0647, 0.5041, 0.0512394180203237, 0.50886885257414, 0.166782179998105, 0.0956040484418929, 0.0998870676255747, -1.28855101926793, -0.517618322143094, -0.0835492079492103, 0.205768770557591, 0.921048435628145, 1.83854000701173, 0.10406208573586, 0.0188686743009217, -0.114570473845366, -0.0458018382010252, 0.157116209398012, 0.0737220347466085
"G2P", 1701, 5, 1, 0.127933243076426, 0.184562372258762, 0.44474461218675, 1.20006315865249, -0.793238752511587, -0.138593954843137, 0.331586001947279, 0.785625622758658, 1.3545777968289, 1.9637992427971, 0, 1.6205, -0.2467, 0.2004, 0.644, 1.351, 0.0213316441923159, 0.706261660572139, 0.201179603785038, 0.0684018087170971, 0.0763452633680285, -0.789499329145659, -0.0166400131643021, 0.303101467615747, 0.698274238294268, 1.3626806936447, 1.71929532122305, 0.24450392157405, -0.00373942336592881, -0.121953941678835, 0.0284845343315318, 0.0873513844643899, -0.00810289681579879
