"mode", "seed", "ncat", "p11", "p12", "p13", "th10", "th11", "th12", "info", "p21", "p22", "p23", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "dth0", "dth1", "dth2"
"P2Gn", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.15437592831473, -0.679416694091165, 0.258200744743874, 0, 0.6241, -0.4981, -2.2069, 0.00188590136485969, 0.0140944845917352, 0.00613182028896927, 0.0959913297867448, 0.116249550500561, -1.17767606661864, -0.515015003153496, 0.24970405394472, 0.0233001383039162, -0.164401690937669, 0.00849669079915413
"P2Gn", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.15437592831473, -0.679416694091165, 0.258200744743874, 1, 0.6957, -1.7588, -0.8784, 0.0194916728596342, 0.00322308377061133, 0.00727451301072131, 0.133326933085259, 0.137843084507599, -1.23387527106325, -0.484477134501178, 0.353104042195432, 0.0794993427485167, -0.194939559589987, -0.0949032974515582
"P2Gn", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.15437592831473, -0.679416694091165, 0.258200744743874, 2, 0.6151, -1.0026, -1.5257, 0.00898928223005551, 0.00651456802675904, 0.00349322909029108, 0.133733434379781, 0.159740435720234, -1.12712871419864, -0.453509603436223, 0.301530528123962, -0.027247214116092, -0.225907090654942, -0.0433297833800885
"P2Gn", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.435678270905019, 0.465869089050445, 1.12655977090317, 0, 0.79, 0.6794, 1.2493, 0.00176602727523968, 0.0180009258141902, 0.00746100832741615, 0.0377793383575932, 0.031615332658491, -0.431896886710073, 0.42115825682587, 1.17418831104003, -0.00378138419494661, 0.044710832224575, -0.0476285401368617
"P2Gn", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.435678270905019, 0.465869089050445, 1.12655977090317, 1, 0.8526, 0.1636, 1.7857, 0.0152810699383283, 0.00106812542156069, 0.00659872254316474, 0.0955760499034974, 0.0456144123110293, -0.523490227808699, 0.401360568520509, 1.25118743616756, 0.0878119569036802, 0.0645085205299359, -0.124627665264389
"P2Gn", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.435678270905019, 0.465869089050445, 1.12655977090317, 2, 0.7854, 0.3716, 1.5143, 0.00862333126201051, 0.00716644531392185, 0.00392000513385663, 0.058797859535968, 0.0566158369607676, -0.479392256339303, 0.385802204575423, 1.1718361040801, 0.0437139854342836, 0.0800668844750215, -0.0452763331769379
"P2Gn", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.67728462372465, -0.232613895182995, 0.939982050519723, 0, 1.0045, -2.881, 1.0558, 0.0010020718655153, 0.0101253370896895, 0.00454051867209553, 0.100644952290845, 0.000808049210762574, -1.50339584468933, -0.23375664933592, 0.927750701312399, -0.173888779035318, 0.00114275415292531, 0.0122313492073237
"P2Gn", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.67728462372465, -0.232613895182995, 0.939982050519723, 1, 0.9388, -2.5649, 0.9453, 0.00553259285523617, 0.00444803823353927, 0.00343657068445136, 0.184226553948738, 0.000589438307370996, -1.36968647067748, -0.231780303534529, 0.855123633692538, -0.307598153047168, -0.000833591648466303, 0.0848584168271845
"P2Gn", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.67728462372465, -0.232613895182995, 0.939982050519723, 2, 0.9661, -2.6475, 0.9506, 0.004394267235399, 0.00505968288482463, 0.00304120219251132, 0.155376808852877, 0.0049355377441403, -1.41706540918781, -0.239593799598363, 0.871695159331924, -0.260219214536837, 0.00697990441536753, 0.0682868911877991
"P2Gn", 1701, 3, 1, 0.0487127321259882, 0.559424674667953, -0.548614009622286, 0.150389355179033, 0.753261478452208, 0, 0.604, 1.0151, -0.4077, 0.00162990341970095, 0.0124490905375832, 0.00528188235117421, 0.019907333467624, 0.0238975134667067, -0.541806178846447, 0.116593167527422, 0.752647542202894, -0.00680783077583946, 0.0337961876516103, 0.000613936249314273
