"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "th10", "th11", "th12", "th13", "a_iinfo1", "method", "p21", "p22", "p23", "p24", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "a_iinfo2", "difai", "dth0", "dth1", "dth2", "dth3"
"G2P", 1701, 4, 1, -1.60341369329408, -1.13879933211689, 1.53491733548862, -1.52548142088703, -0.760439988097979, 0.127036502290296, 1.13794230385492, 0.849966712227062, 0, 1.1488, -1.899, -0.9545, 1.4925, 0.014782449513467, 0.216956749987245, 0.0851494454657314, 0.0994061418535781, 0.0143225573382193, -1.33271590575672, -0.782241452309471, 0.115199986571774, 1.17980366292603, 0.784063940438455, 0.0659027717886074, -0.192765515130311, 0.0218014642114913, 0.0118365157185212, -0.041861359071115
"G2P", 1701, 4, 1, -1.60341369329408, -1.13879933211689, 1.53491733548862, -1.52548142088703, -0.760439988097979, 0.127036502290296, 1.13794230385492, 0.849966712227062, 1, 1.2867, -1.6665, -0.9418, 1.7345, 0.0504983775226591, 0.156373475138881, 0.0788980386363763, 0.150808483742755, 0.0298521801464307, -1.34476406054636, -0.792112711416227, 0.167905764286209, 1.37382484404849, 0.850060924391802, -0.0000942121647395933, -0.180717360340669, 0.0316727233182471, -0.0408692619959134, -0.23588254019357
"G2P", 1701, 4, 1, -1.60341369329408, -1.13879933211689, 1.53491733548862, -1.52548142088703, -0.760439988097979, 0.127036502290296, 1.13794230385492, 0.849966712227062, 2, 1.2362, -1.6591, -0.9873, 1.5976, 0.0398674442948327, 0.168691346175586, 0.0700510137857393, 0.131267071183282, 0.0140899293023976, -1.3072893258857, -0.784605704148999, 0.13044186438282, 1.28188954163265, 0.824112283934702, 0.0258544282923601, -0.218192095001326, 0.0241657160510191, -0.0034053620925244, -0.143947237777734
"G2P", 1701, 4, 1, -2.83194181435478, 0.426470450826252, 1.06254067784207, -1.55201433961393, -0.476049514735919, 0.404316313902674, 1.19366632558712, 0.91133050351047, 0, 1.2038, -2.6558, 0.2544, 1.2479, 0.0127891827983532, 0.169757016741108, 0.0788099080953387, 0.0610344799493255, 0.0160762734116999, -1.64234236678089, -0.470141511552549, 0.431527252857596, 1.1164242465211, 0.860591825434178, 0.0507386780762915, 0.0903280271669546, -0.00590800318336931, -0.0272109389549219, 0.0772420790660193
"G2P", 1701, 4, 1, -2.83194181435478, 0.426470450826252, 1.06254067784207, -1.55201433961393, -0.476049514735919, 0.404316313902674, 1.19366632558712, 0.91133050351047, 1, 1.325, -2.7662, 0.4113, 1.0449, 0.0631480347961404, 0.0710478770677425, 0.04216874574873, 0.141950203752963, 0.0377691754055813, -1.80759701813888, -0.441638491846354, 0.459952752826698, 1.08879781750393, 0.903024021612915, 0.00830648189755478, 0.255582678524942, -0.0344110228895642, -0.0556364389240235, 0.10486850808319
"G2P", 1701, 4, 1, -2.83194181435478, 0.426470450826252, 1.06254067784207, -1.55201433961393, -0.476049514735919, 0.404316313902674, 1.19366632558712, 0.91133050351047, 2, 1.3186, -2.8161, 0.4176, 1.0187, 0.0690941801844414, 0.0706762870454964, 0.0403121872357492, 0.148611326827695, 0.0346672327285101, -1.81742161092697, -0.441437655946548, 0.453382293015525, 1.07410531561746, 0.885918018744918, 0.0254124847655515, 0.265407271313034, -0.0346118587893701, -0.0490659791128511, 0.119561009969653
"G2P", 1701, 4, 1, 0.0487127321259882, 0.433460251207046, 0.559424674667953, -0.75707968251708, -0.0418298022749878, 0.513047553817474, 1.12641202892854, 1.53261151411243, 0, 1.4917, -0.2276, 0.3794, 0.8974, 0.0209116011179988, 0.477658811689442, 0.174848604426118, 0.0646018197339824, 0.0699000301333656, -0.759390556265078, 0.0517412862401853, 0.436219863288461, 1.08135431398035, 1.37518024255086, 0.157431271561574, 0.00231087374799843, -0.0935710885151731, 0.0768276905290136, 0.0450577149481903
"G2P", 1701, 4, 1, 0.0487127321259882, 0.433460251207046, 0.559424674667953, -0.75707968251708, -0.0418298022749878, 0.513047553817474, 1.12641202892854, 1.53261151411243, 1, 1.7778, 0.0867, 0.2932, 0.6594, 0.109725175294729, 0.109503469160069, 0.12879098746087, 0.14104719071658, 0.139585174475982, -0.649305625446357, 0.143929910974172, 0.35830456775975, 1.02889315968672, 1.48926415818101, 0.0433473559314257, -0.107774057070723, -0.18575971324916, 0.154742986057724, 0.0975188692418145
"G2P", 1701, 4, 1, 0.0487127321259882, 0.433460251207046, 0.559424674667953, -0.75707968251708, -0.0418298022749878, 0.513047553817474, 1.12641202892854, 1.53261151411243, 2, 1.7011, -0.0029, 0.3295, 0.6994, 0.0802927002864923, 0.172286597452202, 0.104819120756977, 0.120514880716671, 0.121598823432823, -0.683957728578945, 0.120780913378034, 0.379194736381482, 1.03481670061894, 1.48739730247564, 0.0452142116367904, -0.0731219539381349, -0.162610715653022, 0.133852817435992, 0.0915953283095936
"G2P", 1701, 4, 1, -1.23928623843075, -0.0825501691750181, -0.0521993903231151, -1.25254090825471, -0.566660038769334, 0.0471770640626354, 0.780856618994859, 1.40353786983625, 0, 1.4087, -1.3149, -0.3035, 0.2739, 0.0174945841191676, 0.3375232654469, 0.133392888280146, 0.0406206187572755, 0.045933163433911, -1.25345524152316, -0.511127012210981, -0.00979353774573863, 0.764432972675275, 1.29439988198259, 0.109137987853653, 0.000914333268449585, -0.0555330265583537, 0.056970601808374, 0.0164236463195836
"G2P", 1701, 4, 1, -1.23928623843075, -0.0825501691750181, -0.0521993903231151, -1.25254090825471, -0.566660038769334, 0.0471770640626354, 0.780856618994859, 1.40353786983625, 1, 1.5776, -0.7025, -0.181, 0.1013, 0.133805994564974, 0.124202511751127, 0.181441663864326, 0.183858473704981, 0.153706097876622, -1.00762225813238, -0.31140836536651, -0.0284752775959737, 0.714872418905882, 1.37739010931894, 0.0261477605173077, -0.244918650122334, -0.255251673402824, 0.0756523416586091, 0.0659842000889765
