"mode","seed","ncat","p11","p12","p13","p14","th10","th11","th12","th13","info","p21","p22","p23","p24","rmse_p","rmse_ii","rmse_iic","rmse_t","rmse_tt","th20","th21","th22","th23"
"Gn2P",1702,4,1,-0.364350382546793,0.778612692885184,1.30678788397877,-0.801413043243827,0.0227696044161521,0.703591275496021,1.38489978316527,0,1.3016,-0.4604,0.6919,1.5289,0.00206168042799705,0.0357327577284513,0.0114174019895618,0.035992455292884,0.0314181545484661,-0.827592165387833,0.0678623596319881,0.673129090204441,1.34571841501513
"Gn2P",1702,4,1,-0.364350382546793,0.778612692885184,1.30678788397877,-0.801413043243827,0.0227696044161521,0.703591275496021,1.38489978316527,1,1.3892,0.0451,0.6953,1.4391,0.0175570356522444,0.0162135309804258,0.0173629318574755,0.139767389798105,0.125028869682338,-0.628609413535556,0.23824260703629,0.681957045581576,1.34772527844201
"Gn2P",1702,4,1,-0.364350382546793,0.778612692885184,1.30678788397877,-0.801413043243827,0.0227696044161521,0.703591275496021,1.38489978316527,2,1.3471,-0.3413,0.6352,1.4836,0.00517690248564878,0.0292069922775443,0.0102772269798757,0.0452800255776661,0.047170134624416,-0.78679964412507,0.0899872119450438,0.657149289755224,1.34867124979727
"Gn2P",1702,4,1,-2.42629795766399,-0.147093097381418,0.106141661955158,-1.57338542587385,-0.728050933311542,0.0066600885643896,0.796779689284997,0,1.3358,-2.2948,-0.3914,0.3534,0.00190361252716537,0.0366699994391899,0.0123826347782428,0.105709328151503,0.0140040909640297,-1.78327658762237,-0.712339771891099,-0.0118197138698152,0.789349698595793
"Gn2P",1702,4,1,-2.42629795766399,-0.147093097381418,0.106141661955158,-1.57338542587385,-0.728050933311542,0.0066600885643896,0.796779689284997,1,1.5774,-2.7554,-0.1727,0.0328,0.0178070064595943,0.0146138993329396,0.0179760286206967,0.342346882326624,0.03294179726568,-2.24708015056228,-0.719627012662572,-0.0497714946331369,0.688680275499598
"Gn2P",1702,4,1,-2.42629795766399,-0.147093097381418,0.106141661955158,-1.57338542587385,-0.728050933311542,0.0066600885643896,0.796779689284997,2,1.4366,-2.4964,-0.2648,0.2521,0.00767848857428933,0.0250602846762833,0.00983542118281176,0.204563508937083,0.012049629207918,-1.98085376126727,-0.710236826040016,-0.00421365385777128,0.766466462565002
"Gn2P",1702,4,1,-0.431351794607977,0.341132546850234,0.972431795527971,-0.888409300584323,-0.13272751335541,0.504570033675943,1.1915281514853,0,1.3806,-0.5827,0.3198,1.1501,0.00207180809255474,0.0374598297221992,0.0116796251114602,0.0335993562734892,0.0372278635630894,-0.907301448902119,-0.0824468739703022,0.464201744395361,1.19052205830183
"Gn2P",1702,4,1,-0.431351794607977,0.341132546850234,0.972431795527971,-0.888409300584323,-0.13272751335541,0.504570033675943,1.1915281514853,1,1.5057,-0.1542,0.6431,0.8027,0.0213619328388544,0.0132128379532035,0.0308417723943319,0.180449950169348,0.171032409200983,-0.734061658600343,0.163486540440139,0.50089725199369,1.05489254672875
"Gn2P",1702,4,1,-0.431351794607977,0.341132546850234,0.972431795527971,-0.888409300584323,-0.13272751335541,0.504570033675943,1.1915281514853,2,1.4373,-0.4758,0.2906,1.0914,0.00469550160880077,0.0296552698502098,0.010385288576246,0.0465200389184537,0.0526326990561851,-0.871562418345974,-0.060365271116837,0.449123582680204,1.18365188251274
"Gn2P",1702,4,1,-1.7122505122273,-1.2430042943004,0.882543147489093,-1.59339044084363,-0.853031180292073,-0.0272359566381617,0.91877384565459,0,1.1608,-2.0174,-1.0855,0.8832,0.00190439937935077,0.0324972016376516,0.0107836451204071,0.0583170432430194,0.0120635916534172,-1.48617673918142,-0.854556567532688,-0.0480749567223155,0.959665673390441
