"mode", "seed", "ncat", "p11", "p12", "p13", "th10", "th11", "th12", "info", "p21", "p22", "p23", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "dth0", "dth1", "dth2"
"Gn2P", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.51917728923209, -0.725939139300952, 0.305734081044056, 0, 1.2036, -1.869, -0.9416, 0.00185821024429744, 0.0272274296601345, 0.0111522070982171, 0.0574590866265765, 0.0502908328638345, -1.44960720000911, -0.797061117200026, 0.308245425924959, -0.0695700892229854, 0.0711219778990734, -0.0025113448809026
"Gn2P", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.51917728923209, -0.725939139300952, 0.305734081044056, 1, 1.4455, -1.6122, -1.2434, 0.0132367585717926, 0.00821977815298768, 0.00967491366112165, 0.143663891218336, 0.164293501037127, -1.47294378089952, -0.958285236677416, 0.229604621167012, -0.0462335083325727, 0.232346097376464, 0.0761294598770438
"Gn2P", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.51917728923209, -0.725939139300952, 0.305734081044056, 2, 1.3707, -1.722, -1.1318, 0.00816598054086397, 0.0122070935323654, 0.006432590091423, 0.112991800429703, 0.132853632419284, -1.49102882035453, -0.913822548078833, 0.258734833189543, -0.0281484688775633, 0.187883408777881, 0.0469992478545134
"Gn2P", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.484879703837767, 0.49301807639628, 1.335279564019, 0, 1.1507, 0.3294, 1.6551, 0.00135562928206344, 0.0177512866434653, 0.00743694077822474, 0.0240217715866828, 0.0191451733104955, -0.487937895478142, 0.520093440145966, 1.30383582581564, 0.00305819164037519, -0.0270753637496862, 0.0314437382033561
"Gn2P", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.484879703837767, 0.49301807639628, 1.335279564019, 1, 1.2537, 0.6562, 1.3322, 0.0165509332020731, 0.00364902287299484, 0.0102788659437628, 0.103923673461966, 0.0711541000840795, -0.392718486907396, 0.593645169753638, 1.21788753748461, -0.0921612169303715, -0.100627093357358, 0.117392026534389
"Gn2P", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.484879703837767, 0.49301807639628, 1.335279564019, 2, 1.205, 0.4778, 1.5468, 0.00673607520707846, 0.00977669886599721, 0.00543415030001711, 0.0542388815962641, 0.0520468550534888, -0.445798369168278, 0.566623444691791, 1.29191520228065, -0.0390813346694895, -0.0736053682955105, 0.0433643617383479
"Gn2P", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.48753514826041, -0.22926482513179, 0.927671039609437, 0, 0.9923, -2.8163, 1.0709, 0.000960945652034825, 0.00984079142558708, 0.00437487114959656, 0.0992660344072942, 0.0000449578139114582, -1.65916119043788, -0.229201245181622, 0.937953761279159, 0.171626042177472, -0.0000635799501682299, -0.0102827216697219
"Gn2P", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.48753514826041, -0.22926482513179, 0.927671039609437, 1, 1.0572, -3.0209, 1.2066, 0.00532762323959372, 0.00468304754270395, 0.00364069108164865, 0.216773393577267, 0.00987030552012445, -1.84661903588754, -0.215306105200464, 1.0364645517022, 0.359083887627131, -0.013958719931326, -0.108793512092764
"Gn2P", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.48753514826041, -0.22926482513179, 0.927671039609437, 2, 1.0234, -3.0137, 1.1834, 0.00423624484109454, 0.00527836179915957, 0.00320513340335861, 0.181927964232681, 0.00781336075755541, -1.79318278094804, -0.218215064380742, 1.00350493657731, 0.305647632687631, -0.0110497607510486, -0.075833896967874
"Gn2P", 1701, 3, 1, 0.0487127321259882, 0.559424674667953, -0.685848504056145, 0.165746392912576, 0.964542463165855, 0, 1.2853, -0.1424, 0.7513, 0.00168470926144827, 0.0262258762297398, 0.0109703750904328, 0.0109984721120758, 0.011436361215413, -0.687095933003764, 0.181919850047611, 0.954554351646545, 0.00124742894761931, -0.0161734571350347, 0.00998811151930967
"Gn2P", 1701, 3, 1, 0.0487127321259882, 0.559424674667953, -0.685848504056145, 0.165746392912576, 0.964542463165855, 1, 1.4994, 0.2091, 0.4041, 0.0234466746931073, 0.00687170790822813, 0.020115107425686, 0.0955221190752537, 0.0325254128878894, -0.574345744381553, 0.211744272940414, 0.851296026949188, -0.111502759674592, -0.0459978800278379, 0.113246436216667
"Gn2P", 1701, 3, 1, 0.0487127321259882, 0.559424674667953, -0.685848504056145, 0.165746392912576, 0.964542463165855, 2, 1.3734, -0.0028, 0.6364, 0.00820692980985225, 0.017350210851568, 0.00761479416235248, 0.0368538551714368, 0.0259694018116669, -0.646021091892312, 0.202472673161352, 0.930784834362691, -0.0398274121638335, -0.0367262802487758, 0.0337576288031642
"Gn2P", 1701, 3, 1, -0.0825501691750181, 0.433460251207046, -0.741942678713923, 0.09569821681962, 0.902920494816857, 0, 1.2879, -0.2719, 0.623, 0.00166740427884431, 0.0259837777536945, 0.0108885497934138, 0.00655183977523927, 0.00660376808041685, -0.741837167899072, 0.105037355201712, 0.896474629857885, -0.000105510814851439, -0.00933913838209205, 0.00644586495897226
