"mode", "seed", "ncat", "p11", "p12", "p13", "th10", "th11", "th12", "a_iinfo1", "method", "p21", "p22", "p23", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "a_iinfo2", "difai", "dth0", "dth1", "dth2"
"G2P", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.51917728923209, -0.725939139300952, 0.305734081044056, 0.586784725047743, 0, 1.1917, -1.8651, -0.9338, 0.0132898901436006, 0.157602344746064, 0.0820416855921911, 0.101341885318378, 0.0451202589773035, -1.35566619086378, -0.789748821484441, 0.307459864831226, 0.545021686819895, 0.0417630382278477, -0.163511098368312, 0.063809682183489, -0.00172578378716948
"G2P", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.51917728923209, -0.725939139300952, 0.305734081044056, 0.586784725047743, 1, 1.3603, -1.6517, -1.0909, 0.0572602695016678, 0.0364589199768546, 0.0366823842252792, 0.116359759487049, 0.102923034404457, -1.38512381133277, -0.871494290436328, 0.267496090449558, 0.569026566399795, 0.0177581586479482, -0.134053477899325, 0.145555151135375, 0.0382379905944982
"G2P", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.51917728923209, -0.725939139300952, 0.305734081044056, 0.586784725047743, 2, 1.3452, -1.606, -1.0548, 0.0558244527710252, 0.0456173758559906, 0.0342882317875436, 0.116853672138192, 0.0814068135145498, -1.35520935738844, -0.841065759042806, 0.27701612794379, 0.577101566340514, 0.00968315870722858, -0.163967931843656, 0.115126619741854, 0.0287179531002664
"G2P", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.484879703837767, 0.49301807639628, 1.335279564019, 0.728542094302436, 0, 1.1261, 0.3212, 1.6608, 0.0106629618166826, 0.127777035736084, 0.0631716482582904, 0.0643917941091453, 0.0183717725905674, -0.485385494414907, 0.518999686358695, 1.22681938899869, 0.684902335466062, 0.0436397588363742, 0.00050579057714023, -0.0259816099624148, 0.108460175020312
"G2P", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.484879703837767, 0.49301807639628, 1.335279564019, 0.728542094302436, 1, 1.2054, 0.4988, 1.421, 0.069834439676891, 0.0325280791640128, 0.0318685379196169, 0.0956033207130884, 0.0428340040592143, -0.436767878139417, 0.553594505867565, 1.18887009296405, 0.713978002519703, 0.0145640917827329, -0.04811182569835, -0.060576429471285, 0.146409471054952
"G2P", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.484879703837767, 0.49301807639628, 1.335279564019, 0.728542094302436, 2, 1.1906, 0.4533, 1.4072, 0.0622643242194623, 0.0396408028913654, 0.0305619575297069, 0.097784102834373, 0.0266092655447862, -0.450114839555937, 0.530649260614504, 1.17384694498812, 0.715936628347234, 0.0126054659552027, -0.0347648642818302, -0.0376311842182238, 0.161432619030881
"G2P", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.48753514826041, -0.22926482513179, 0.927671039609437, 0.423564978682078, 0, 1.006, -2.8371, 1.0635, 0.000657849428613995, 0.00639498637091262, 0.00272170285394374, 0.0214549521420637, 0.00029324194559301, -1.45038213937567, -0.229679531868305, 0.927017691778905, 0.420183748585716, 0.00338123009636232, -0.0371530088847425, 0.000414706736514309, 0.000653347830532058
"G2P", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.48753514826041, -0.22926482513179, 0.927671039609437, 0.423564978682078, 1, 1.0012, -2.8068, 1.0511, 0.00384263387309452, 0.00235942783483581, 0.00201044528628406, 0.0292266084651705, 0.000753440493214919, -1.43755530297329, -0.230330350895736, 0.919704632197617, 0.422820317671793, 0.000744661010284697, -0.0499798452871194, 0.00106552576394561, 0.00796640741181998
"G2P", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.48753514826041, -0.22926482513179, 0.927671039609437, 0.423564978682078, 2, 1.0017, -2.8105, 1.0566, 0.00277052412185484, 0.00269845871023428, 0.00167120987590636, 0.0282125061348272, 0.0000729486104872303, -1.43901032885925, -0.229367990046098, 0.921911893291778, 0.421705741132072, 0.00185923755000639, -0.0485248194011605, 0.000103164914307313, 0.00575914631765939
"G2P", 1701, 3, 1, 0.0487127321259882, 0.559424674667953, -0.685848504056145, 0.165746392912576, 0.964542463165855, 0.975645173242514, 0, 1.2472, -0.1463, 0.755, 0.0140584951127272, 0.161559726051079, 0.0972803219127798, 0.0233577979805593, 0.011268840632937, -0.676441875794907, 0.181682940167897, 0.928566054425742, 0.923976729951958, 0.0516684432905562, -0.00940662826123773, -0.0159365472553205, 0.0359764087401131
