"","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6"
"加藤　健",2,2,0,0,0,0,3,4,0,3,1,0,1,2,0,0,0,0,3,3,0,3,1,0,3,2,1,0,1,0,10,7,3,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7,0,1,0,0
"大田　泰示",9,2,1,2,1,0,4,9,0,3,1,1,1,1,0,1,0,0,1,3,0,4,0,0,2,6,1,3,1,0,11,21,3,10,1,0,3,4,0,1,1,0,0,1,1,0,0,0,2,2,0,1,0,0
"フランシスコ",2,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"小山　雄輝",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"澤村　拓一",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"堂上　剛裕",5,4,1,2,0,0,2,5,0,2,1,0,2,3,0,0,0,0,2,7,1,0,0,1,2,7,1,4,4,0,3,17,0,4,2,0,2,1,0,1,0,0,0,0,1,0,1,0,0,3,0,0,0,2
"矢野　謙次",4,10,0,4,2,0,1,9,0,0,1,0,1,2,0,1,0,0,2,5,1,1,0,0,1,18,1,1,0,0,1,1,1,1,0,1,0,2,0,0,0,0,2,2,0,1,1,0,1,2,1,1,0,0
"立岡　宗一郎",5,11,1,5,2,0,9,17,1,9,0,0,4,6,1,1,0,0,1,11,0,5,0,0,9,28,4,17,2,0,18,53,6,34,5,0,0,5,0,1,0,0,7,13,0,4,0,0,4,12,1,5,2,0
"吉川　大幾",0,2,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,5,10,1,2,0,0,4,5,0,3,2,0,1,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0
"内海　哲也",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0
"辻　東倫",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"坂口　真規",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"カステヤーノス",2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,2,1,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
